id,name
2975,Laurence Fishburne
8349,Martin Sheen
8351,Frederic Forrest
8354,Albert Hall
6384,Keanu Reeves
530,Carrie-Anne Moss
1107983,Martin Luther King Jr.
52057,Obba Babatundé
110380,Colin Powell
18471,Anthony Anderson
74611,Tracee Ellis Ross
1407498,Marsai Martin
74568,Chris Hemsworth
226366,Brian Tyree Henry
1245,Scarlett Johansson
47296,Jeffrey Dean Morgan
17637,Taye Diggs
53336,Brandon T. Jackson
2639,Eva Marie Saint
2641,Martin Landau
13724,Jane Alexander
2112,Brock Peters
6193,Leonardo DiCaprio
1892,Matt Damon
514,Jack Nicholson
7796,Illeana Douglas
851784,Mackenzie Foy
89819,Zachary Gordon
92029,Gabriel Bologna
218506,Gretchen Becker
103835,Jeff Monahan
6717,James Marshall
26466,Caroline Kava
18269,Brendan Fraser
928944,Coleman Barks
2022250,Robert Bly
9979,Peter Coyote
2098136,Brian Becker
2098137,Richard Becker
2098138,Blase Bonpane
5606,Sissy Spacek
5632,Jack Fisk
11367,Bradley Whitford
31028,Richard Schiff
21010,Alexandra Hay
101032,Rod McCary
1397846,Craig Barron
2166741,Robert A. Baum Jr.
4001066,Richard Teideman
1197772,David Aaronovitch
3895,Michael Caine
59258,Lewis Black
3392,Michael Douglas
564,Richard Linklater
584,Philip K. Dick
32233,Tommy Pallotta
1357063,Darrin Prescott
40644,Chad Stahelski
1779512,Jackson Spidell
1776,Francis Ford Coppola
38803,Roman Coppola
64,Gary Oldman
21127,Bobby Cannavale
1692944,Heidi Schreck
30020,Michael J. Nelson
30022,Kevin Murphy
68833,Bill Corbett
9340,Lana Wachowski
9339,Lilly Wachowski
4789367,Cáel M. Keegan
529,Guy Pearce
532,Joe Pantoliano
180659,Rosa Parks
1280183,Coretta Scott King
181934,Al Sharpton
496175,Carmelo Anthony
2102583,Andrew Cohen
73988,Lyndon B. Johnson
21111,John F. Kennedy
1006651,John Lewis
23626,Liev Schreiber
937663,Neil Amdur
1931175,Bob Beamon
2954,Jeffrey Wright
33663,Donald Trump
2301996,Mike Pence
2787630,Valentin Zorin
89289,Jesse Jackson
2803017,Arthur John Birch
2803001,Haroldson Lafayette Hunt
1165240,Jason Alan Carvell
2855535,Jack O'Dell
2939212,Clarence Jones
214317,Ben Bradlee
13716,Carl Bernstein
117180,Tom Brokaw
237876,Sarah-Jane Sauvegrain
1050881,Jacqueline Kennedy
12951,O.J. Simpson
2998183,Nicole Brown Simpson
1231277,Marcia Clark
7172,James Brown
21112,Hubert H. Humphrey
1038,Jodie Foster
4173,Anthony Hopkins
349,Scott Glenn
2535,Vivica A. Fox
225620,Rudolph Moise
1122373,Marion Barry
1122374,Chuck Brown
1122375,Lewis Franklin
1507609,Bob Coen
1507612,Francis E. Boyle
1507613,Jean Patterson
19011,George W. Bush
146687,Tony Blair
74266,Dick Cheney
1884692,Susannah Kenton
2701107,Eugene Chang
1897,Bernie Mac
77896,Bill Bellamy
1224841,Mo Willems
539,Thomas Lennon
111513,Yvette Nicole Brown
2395,Whoopi Goldberg
1735828,Halle Bailey
53397,Christina Aguilera
170497,Norman Lear
4491,Jennifer Aniston
56322,Amy Poehler
2682390,Gerd Ludwig
2227,Nicole Kidman
4430,Sharon Stone
14837,Carol Burnett
5823,Julie Andrews
3141,Marisa Tomei
1068417,Bethann Hardison
77072,Tyson Beckford
56367,Naomi Campbell
14386,Beyoncé
84932,Jay-Z
1680929,Blue Ivy Carter
102786,Barack Obama
128550,Desmond Tutu
2320880,Sundar Pichai
3223,Robert Downey Jr.
16828,Chris Evans
103,Mark Ruffalo
10850,Kevin Feige
87173,Craig Kyle
91606,Tom Hiddleston
16483,Sylvester Stallone
1100,Arnold Schwarzenegger
1218634,Harvey Levin
587506,Shameik Moore
543505,Jake Johnson
130640,Hailee Steinfeld
73421,Joaquin Phoenix
380,Robert De Niro
1545693,Zazie Beetz
515,Glenn Close
1650331,Jeremy O. Harris
350,Laura Linney
2165,Rosanna Arquette
4726,Marcia Gay Harden
6968,Hugh Jackman
3894,Christian Bale
61110,Fred Armisen
7447,Alec Baldwin
2054851,Roman Griffin Davis
1356758,Thomasin McKenzie
2240369,Bert Stern
82280,Louis Armstrong
40092,Twiggy
5656,Noah Baumbach
1023139,Adam Driver
172069,Chadwick Boseman
1215522,Robin Roberts
1896,Don Cheadle
525,Christopher Nolan
15556,Rebecca Hall
53768,Anita Pallenberg
1430,Keith Richards
1232333,Angela Richards
40389,Bernadette Peters
5699,Patti LuPone
221611,Jonathan Groff
65717,Jon Hamm
1338266,2 Chainz
2136301,Lil Baby
56978,Jennifer Rubin
43902,Erik Palladino
84164,Billy Jayne
21029,Billy Burke
1661329,Lorraine Devon Wilke
219688,Billy Aronson
1277412,Martha Banta
17828,Michael Barnathan
40036,Taraji P. Henson
1394997,Tituss Burgess
131722,Ciara
2496,Stanley Ridges
22091,Robert Sterling
2282,Ben Kingsley
24589,Paul Mercurio
24590,Dominique Sanda
1205143,John Gazarian
1205144,Darlene Landau
11770,John Carpenter
9111,Peter Graves
98234,Barbara Bain
2222,Beau Bridges
18878,Rob Cohen
6349,Alan J. Pakula
21278,Alan Alda
8488,Mary Badham
8487,Gregory Peck
8489,Phillip Alford
84206,Keshia Knight Pulliam
119598,Phylicia Rashād
8656,Dorian Harewood
57686,Hill Harper
32646,Monica Calhoun
20493,Sydney Tamiia Poitier
24045,Joseph Gordon-Levitt
3899,Ken Watanabe
134,Jamie Foxx
27319,Christoph Waltz
9261,Frank Abagnale Jr.
488,Steven Spielberg
2689,Jeff Nathanson
16418,Casey Kasem
15831,Frank Welker
11478,Lorraine Bracco
944538,Daniel B. Gold
2830394,Ross Gelbspan
971346,Bill McKibben
21007,Jonah Hill
234352,Margot Robbie
31,Tom Hanks
1206,Jason Alexander
70851,Jack Black
2366,Dante Ferretti
150367,James Gilligan
204,Kate Winslet
2710,James Cameron
8529,Jon Landau
1032,Martin Scorsese
2157,Robin Williams
880,Ben Affleck
3197,Tom Sizemore
12833,Edward Burns
10297,Matthew McConaughey
1813,Anne Hathaway
1231844,Manny Ramírez
1214256,Curt Schilling
21037,Prince
1800494,Cora Coleman-Dunham
1775343,Josh Dunham
19498,Jon Bernthal
1810,Heath Ledger
3361135,Peter Kent
1812,Michelle Williams
2037,Cillian Murphy
5081,Emily Blunt
578,Ridley Scott
1370,Brad Dourif
7071,Louise Fletcher
10409,Shelley Duvall
10410,Danny Lloyd
34947,Kevin Conroy
1262612,Neal Adams
21200,Will Arnett
15189,Michelangelo Antonioni
18514,Asia Argento
4955,Dario Argento
707,Dan Aykroyd
11665,Michael Angarano
2171,Griffin Dunne
11477,Ray Liotta
4517,Joe Pesci
176557,Mark Kassen
19453,Tom Bower
17696,Kathryn Hahn
15864,Clarence Williams III
20508,Iain Glen
1254526,Brianna Gentilella
17051,James Franco
1518619,Sigi Ravet
13922,Seth Green
188238,Matthew Senreich
52139,Seth MacFarlane
131220,Sherry Morris
3140207,Carman
131221,Elise Lester
6677,Kyle MacLachlan
6678,Michael Ontkean
6714,Mädchen Amick
3517400,David Barbe
1936743,Kishi Bashi
56890,Malcolm McDowell
46393,Roseanne Barr
1066777,Mumia Abu-Jamal
65013,Rubin 'Hurricane' Carter
4808,Giancarlo Esposito
82128,Wesley Clark
9789,Robert Altman
6449,Warren Beatty
1353815,Dr. Diane Ravitch
1353816,Dr. Linda Darling-Hammond
20212,Dermot Mulroney
41249,Tess Harper
13567,Ann-Margret
25834,Leslie Hope
1204293,J. Allen Hynek
2027993,Philip J. Klass
3546502,Jack Trout
118764,Paulo Pires
36281,Imanol Arias
1,George Lucas
7879,John Lasseter
3199207,Jerry Dealey
3199208,Barry Ernest
1800382,Stanley McChrystal
3474911,Kathleen Belew
60642,Tom Petty
22865,Little Richard
13301,Quincy Jones
4645062,Anne Nelson
2749845,William J. Barber II
54693,Emma Stone
19492,Viola Davis
18997,Bryce Dallas Howard
13611,Jack White
10750,Sheryl Crow
8261,Willie Nelson
1214281,Marcus Allen
1648152,Peter Max
92911,Garth Brooks
192,Morgan Freeman
287,Brad Pitt
12052,Gwyneth Paltrow
76184,Bryan Marshall
75781,John Turner
83908,Daniel Massey
1748,William Shatner
8499,William Windom
6952,Charlie Sheen
114454,BJ Davis
10017,Charlton Heston
1291312,Jürgen Thormann
2983750,Peter Garloff
39998,Tim McIntire
7506,Irwin Allen
32395,Debbie Allen
1227911,Peter Allen
27769,Harry Anderson
212,David Cross
1163873,Omar Elba
1532857,Rebecca Blaine Carton
1358384,Topher Mikels
10872,Patton Oswalt
105787,Greg Giraldo
26513,Debra Winger
146747,Mario Batali
169200,Phyllis Smith
8534,Kathy Bates
1121,Benicio del Toro
73931,Bette Midler
2232,Michael Keaton
516,Annette Bening
6352,Jane Fonda
14841,Bruce Gilbert
2435839,Barbara Grau
14538,Don Phillips
7779,Sean Daniel
1820819,Kent Jones
569,Ethan Hawke
4587,Halle Berry
8691,Zoe Saldaña
189111,Suzanne Collins
72129,Jennifer Lawrence
27972,Josh Hutcherson
16178,Rick Baker
11181,Kenneth Branagh
14639,Mel Brooks
1006721,Charles Scorsese
11483,Catherine Scorsese
2559324,Beth Lane
2559325,Lea Madda
27888,Raúl Juliá
2630,Nastassja Kinski
958722,Eiko Ishioka
41381,Sadie Frost
151007,Peter Ramsey
1769,Sofia Coppola
19772,Paul Rassam
1158,Al Pacino
3087,Robert Duvall
3092,Diane Keaton
3084,Marlon Brando
3085,James Caan
1003,Jean Reno
524,Natalie Portman
10980,Daniel Radcliffe
10989,Rupert Grint
10990,Emma Watson
1415341,Kazu Hiro
1267653,Chet Zar
219479,Criss Angel
1101349,Steve Aoki
1407495,Miles Brown
4038,Susan Sarandon
18992,Aidan Quinn
2047,Danny Glover
9827,Rose Byrne
143103,Krew Boylan
4730,Emmy Rossum
9464,Harry Lennix
14409,David Schwimmer
30024,Joel Hodgson
117649,Frank Conniff
30019,Trace Beaulieu
6777,Moe Howard
89613,Larry Fine
89614,Curly Howard
1219029,Paul F. Tompkins
1750843,Subhah Agarwal
1221712,Kevin Allison
1350757,Jonah Ray
1230192,Elliott Kalan
46300,Alex Etel
27889,Stephan Elliott
1331,Hugo Weaving
7187,Richard Donner
57371,Jeff Cohen
3034,Corey Feldman
1385039,Bryan Stevenson
1641150,Patrisse Cullors
229579,Bob Carruthers
220717,Uri Geller
1229925,La Toya Jackson
10565,Dick Cavett
46433,Dick Clark
59785,Fat Joe
16450,Sean Combs
179512,Marv Albert
1865991,Jim Boeheim
4724,Kevin Bacon
46432,George H. W. Bush
50576,Jimmy Carter
136403,Robert Dryden
1999091,Chris Schenkel
57738,Samuel Labarthe
1141815,Charles de Gaulle
1204877,André Malraux
1152,Oliver Stone
3331792,Vasili Arkhipov
120578,Franklin D. Roosevelt
3032475,Carl Sferrazza Anthony
3032476,Christopher Andersen
3032477,James Hart
1257876,Margaret Whitmer
1051824,Tom Junod
1998031,Joanne Rogers
1116399,Winston Churchill
18802,Ronald Reagan
1461,George Clooney
95778,Dan Rather
1230060,Bob Schieffer
1670479,Abbas Abdi
1625013,Mahmoud Ahmadinejad
84384,Osama Bin Laden
4353,Peter Lawford
2214123,Véronique Préault
2412677,Xavier Pasco
2412679,John Logsdon
7571,Blair Brown
84378,Nick Fraser
16811,Alexander Scheer
3910768,Jürgen Hambrecht
2823180,Wolfgang Ischinger
4347,Frank Sinatra
3794648,Michel Lerokourez
4299,Dean Martin
210695,Jesse Williams
1258041,David Axelrod
1236577,Douglas Brinkley
223120,Jack O'Callahan
223121,Herb Brooks
223122,Mike Eruzione
219189,Jackie Robinson
214725,Duke Snider
3905,William H. Macy
18686,Holly Hunter
222441,Bud Greenspan
1204260,Jim McKay
2652100,Curt Flood
2652101,Judy Pace Flood
1589101,Matilda De Angelis
1212794,Marv Albert
16513,John G. Avildsen
1329724,Chuck Wepner
74295,Jeff Feuerzeig
1613258,Daniel Patrick Moynihan
25072,Oscar Isaac
3910,Frances McDormand
1241,John Turturro
16214,Mario Van Peebles
227811,Herschel Walker
1222706,Skip Bayless
56446,John Cena
112219,Michael Hickenbottom
543530,Dave Bautista
1167702,Bruno Sammartino
1167703,Bob Backlund
557911,Robert F. Kennedy Jr.
1076629,Anthony Baxter
1705941,Molly Forbes
1816204,Frederick Oberlander
1816207,Tevfik Arif
11161,Tom Savini
2323039,Catherine Mercado-Muñiz
2339577,Carmen Yulín Cruz
1145892,Ed Koch
1807640,Jane Jacobs
16620,Hulk Hogan
77120,Steve Austin
2266228,Kim Dae-jung
2435679,Lee Geum-hee
2266230,Kim Young-sam
10127,Jon Voight
1229169,Roger Ailes
1326321,Saraya-Jade Bevis
57342,Vince McMahon
2521527,Wesley Lowery
1600254,Megyn Kelly
567335,Chris Benoit
115788,Paul Lévesque
2651270,Marcella Hansch
1110063,Felix Finkbeiner
2651271,Zion Lights
28151,Benoît Allemane
2982422,Michael S. Cullen
3242458,Isabelle Rouge-Ducos
3342345,Tim Gielen
1954181,George Soros
240633,Bill Gates
27765,Richard Nixon
25504,André Roussimoff
160733,Nick Bockwinkel
21397,Dennis Rodman
3981237,Shirley Rodman
1354043,Christoffer Guldbrandsen
1600270,Roger Stone
60342,Emily Maitlis
2041195,Prince Andrew Duke of York
2607708,Jeffrey Epstein
3553309,John Shipton
150882,Julian Assange
80757,Mike Tyson
1003978,Larry Holmes
65605,Muhammad Ali
1562927,Ken Blackwell
2547400,Kellyanne Conway
1666438,Ted Cruz
67273,Roger Waters
4381182,Peter Hart
1184450,Sut Jhally
1965392,Jair Bolsonaro
7063,Nina Sosanya
1326448,Glenn Greenwald
2882914,Malcolm Kenyatta
4026758,Dr. Matt Kenyatta
4706028,Conor Lamb
2005811,Marina Moncade
1173480,François Hollande
4737861,David Colon
2189100,Moon Jae-in
1671675,Yuna Kim
1644623,Ahn Jung-hwan
938972,Angela Davis
2149806,Gus Hall
100709,Junior Wells
1386798,Joseph McCarthy
13348,Howard Hughes
1247141,Harry S. Truman
2802990,Jean Paul Getty
117418,Mahalia Jackson
1188876,Horace Clarence Boyer
82702,Michael Jackson
54421,Janet Jackson
207070,Jermaine Jackson
61399,Mike Ditka
1232728,Jim McMahon
1723195,Mike Singletary
1219050,Hank Aaron
14414,Kareem Abdul-Jabbar
1416398,Joshua L. Pearson
116341,Bill Clinton
1428889,Ivy Austin
3323316,Tricia Brooks
1374664,Louis-Émile Galey
1010125,Claude Heymann
146964,Kenneth Anger
1171032,Adolfo Arrieta
1190206,Donatas Banionis
2415973,Daniel Petrocelli
2413592,Fred Goldman
22860,Chuck Berry
1172565,Lesley Gore
22859,Jerry Lee Lewis
532942,Fats Domino
27011,Vanessa Williams
8851,Whitney Houston
543105,Ella Fitzgerald
3410437,Bobby Sanabria
3410434,Willie Estrada
3410438,Derrick León Washington
1086588,Otis Redding
2680008,Olivier Cachin
23977,Akhenaton
1178642,Shurik'n
1036,Cybill Shepherd
3119545,Kali Reis
10981,Fiona Shaw
5049,John Hurt
10774,Anne Bancroft
39187,Olivia Colman
